best_epoch_by_valid_f1_curve_only,best_valid_f1_from_curve_only,note,train_time_sec,train_loss,train_precision,train_recall,train_f1,train_accuracy,valid_loss,valid_precision,valid_recall,valid_f1,valid_accuracy,test_loss,test_precision,test_recall,test_f1,test_accuracy,dlr_ratio,syn_ratio,sample_seed,dlr_total_used,train_real_size,valid_size,test_size,syn_total_used,train_final_size
19.0,0.7015329125338143,No checkpoint saved. Final epoch model was evaluated.,3778.883896589279,2.1658550394931808e-05,0.9997832448249702,0.9998916106655105,0.9998374248089741,0.9999898639334426,0.34954380989074707,0.6786026200873363,0.7207792207792207,0.699055330634278,0.9620318111852232,0.36235082149505615,0.6816220880069025,0.7194899817850637,0.7000443066016836,0.9601089588377724,0.5,0.6,500,3717,2230,743,744,6558,8788
18.0,0.7120638923917613,No checkpoint saved. Final epoch model was evaluated.,3791.6967227458954,3.7971885831211694e-06,1.0,1.0,1.0,1.0,0.36016008257865906,0.6802325581395349,0.718421052631579,0.6988054607508533,0.95983200839958,0.31105396151542664,0.6817792985457656,0.7386468952734013,0.7090747330960854,0.9646335063268995,0.5,0.6,600,3717,2230,743,744,6558,8788
19.0,0.7184035476718404,No checkpoint saved. Final epoch model was evaluated.,3774.058683156967,8.228883416450117e-06,1.0,1.0,1.0,1.0,0.3360581398010254,0.692504258943782,0.7411121239744758,0.7159841479524438,0.9637878921266544,0.34454262256622314,0.6563545150501672,0.7182067703568161,0.6858890345128876,0.9607203287406333,0.5,0.6,800,3717,2230,743,744,6558,8788
16.0,0.7071971390254804,No checkpoint saved. Final epoch model was evaluated.,3735.8482921123505,5.155854978511343e-06,1.0,1.0,1.0,1.0,0.3644877076148987,0.6832460732984293,0.7263450834879406,0.704136690647482,0.9612532162857576,0.35935088992118835,0.6772532188841202,0.7312326227988879,0.7032085561497327,0.9631934253008512,0.5,0.6,1500,3717,2230,743,744,6558,8788
16.0,0.7240495514737291,No checkpoint saved. Final epoch model was evaluated.,1992.9287655353546,8.608447387814522e-05,0.999539028887523,0.999539028887523,0.999539028887523,0.9999651682374133,0.3204837441444397,0.6940359477124183,0.7531028368794326,0.7223639455782312,0.9642656971900325,0.294832319021225,0.7015552753257671,0.7659476824231298,0.7323387450636244,0.9669530245005988,1.0,0.0,11,7434,4460,1486,1488,0,4460
19.98,0.7097602739726027,No checkpoint saved. Final epoch model was evaluated.,2097.982404232025,0.00010174257477046922,0.9990791896869244,0.9992325402916347,0.9991558591052107,0.9999603736762331,0.37058255076408386,0.683429513602638,0.7382012466607302,0.7097602739726027,0.9595655348667397,0.32841914892196655,0.6841437632135307,0.7415215398716773,0.7116780294699803,0.9620838931183758,1.0,0.0,55,7434,4460,1486,1488,0,4460
19.0,0.7136431784107946,No checkpoint saved. Final epoch model was evaluated.,1969.5073828697205,5.3677740652346984e-05,0.9993825254708243,0.999536822603057,0.9994596680818217,0.9999802067405945,0.3561679720878601,0.6845360824742268,0.7387627948375612,0.7106164383561644,0.9619922557133096,0.31789931654930115,0.7061571125265392,0.7494366831906264,0.7271534761696544,0.9642557148857023,1.0,0.0,110,7434,4460,1486,1488,0,4460
17.0,0.711879238678626,No checkpoint saved. Final epoch model was evaluated.,1963.29310297966,0.00015829935728106648,0.9984688409125708,0.9990807415351617,0.9987746975034462,0.9999254791689437,0.32132866978645325,0.6873935264054515,0.7353075170842824,0.7105436935945411,0.9616421623393068,0.3168008327484131,0.7136130136986302,0.7505628095452499,0.7316216809304367,0.9641060503059143,1.0,0.0,220,7434,4460,1486,1488,0,4460
17.0,0.714009869126797,No checkpoint saved. Final epoch model was evaluated.,1961.9803957939148,9.774674254003912e-05,0.9993876301285977,0.9995406522737712,0.9994641353441016,0.999945376356901,0.32407087087631226,0.6795918367346939,0.7513537906137184,0.7136733819117018,0.962995276632871,0.3507510721683502,0.6537982565379825,0.7172131147540983,0.6840390879478827,0.9609623105039248,1.0,0.0,500,7434,4460,1486,1488,0,4460
19.0,0.72594814656096,No checkpoint saved. Final epoch model was evaluated.,1968.2484147548676,8.905952563509345e-05,0.999535747446611,0.99984520123839,0.9996904503946757,0.9999700877923295,0.31993621587753296,0.6991297140489018,0.7504448398576512,0.7238789959236215,0.9641842212097974,0.3494139611721039,0.6802134646962233,0.7413870246085011,0.709484050524513,0.960751207085518,1.0,0.0,600,7434,4460,1486,1488,0,4460
