epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
9.93,0.0018,,,,,
9.96,0.003,,,,,
9.99,0.0037,,,,,
10.0,,0.25564542412757874,0.6650020807324178,0.7211191335740073,0.6919246590171032,0.9608882349408444
10.02,0.0053,,,,,
10.05,0.001,,,,,
10.08,0.0015,,,,,
10.11,0.0009,,,,,
10.14,0.0018,,,,,
10.17,0.0026,,,,,
10.2,0.0027,,,,,
10.23,0.0008,,,,,
10.26,0.0023,,,,,
10.29,0.0018,,,,,
10.32,0.0046,,,,,
10.35,0.0017,,,,,
10.38,0.0006,,,,,
10.41,0.0029,,,,,
10.44,0.0013,,,,,
10.47,0.0032,,,,,
10.5,0.0027,,,,,
10.53,0.0005,,,,,
10.56,0.0009,,,,,
10.59,0.0059,,,,,
10.62,0.0028,,,,,
10.65,0.0023,,,,,
10.68,0.0022,,,,,
10.71,0.0048,,,,,
10.74,0.0014,,,,,
10.78,0.0021,,,,,
10.81,0.0032,,,,,
10.84,0.0026,,,,,
10.87,0.0014,,,,,
10.9,0.0007,,,,,
10.93,0.0022,,,,,
10.96,0.0029,,,,,
10.99,0.0057,,,,,
11.0,,0.26260966062545776,0.6779089376053963,0.7256317689530686,0.7009590235396687,0.9610533901867756
11.02,0.0045,,,,,
11.05,0.0025,,,,,
11.08,0.0016,,,,,
11.11,0.0037,,,,,
11.14,0.0025,,,,,
11.17,0.0026,,,,,
11.2,0.0008,,,,,
11.23,0.001,,,,,
11.26,0.0024,,,,,
11.29,0.0007,,,,,
11.32,0.0009,,,,,
11.35,0.0013,,,,,
11.38,0.0028,,,,,
11.41,0.0013,,,,,
11.44,0.001,,,,,
11.47,0.0028,,,,,
11.5,0.0019,,,,,
11.53,0.0005,,,,,
11.56,0.0004,,,,,
11.59,0.0016,,,,,
11.62,0.0025,,,,,
11.65,0.0017,,,,,
11.68,0.0003,,,,,
11.71,0.0016,,,,,
11.74,0.006,,,,,
11.77,0.001,,,,,
11.8,0.003,,,,,
11.83,0.0007,,,,,
11.86,0.0018,,,,,
11.89,0.0015,,,,,
11.92,0.0015,,,,,
11.95,0.0028,,,,,
11.98,0.0013,,,,,
12.0,,0.286612331867218,0.693304535637149,0.7242779783393501,0.7084528801589053,0.9617890817368326
12.01,0.0008,,,,,
12.04,0.0008,,,,,
12.07,0.0023,,,,,
12.1,0.0022,,,,,
12.13,0.001,,,,,
12.16,0.0007,,,,,
12.19,0.001,,,,,
12.22,0.0012,,,,,
12.25,0.0005,,,,,
12.28,0.0009,,,,,
12.31,0.0007,,,,,
12.34,0.0014,,,,,
12.37,0.0008,,,,,
12.4,0.0027,,,,,
12.43,0.0002,,,,,
12.46,0.0019,,,,,
12.49,0.0024,,,,,
12.52,0.0009,,,,,
12.55,0.0007,,,,,
12.58,0.0018,,,,,
12.61,0.0016,,,,,
12.64,0.0011,,,,,
12.67,0.0004,,,,,
12.7,0.0007,,,,,
12.73,0.0009,,,,,
12.76,0.0018,,,,,
12.79,0.0011,,,,,
12.82,0.0015,,,,,
12.85,0.0037,,,,,
12.88,0.0029,,,,,
12.91,0.0019,,,,,
12.94,0.0012,,,,,
12.97,0.0019,,,,,
13.0,0.0017,0.29365673661231995,0.6630478488138319,0.7441335740072202,0.7012545183925155,0.9600324304846556
13.03,0.0019,,,,,
13.06,0.0002,,,,,
13.09,0.0012,,,,,
13.12,0.0009,,,,,
13.15,0.0012,,,,,
13.18,0.001,,,,,
13.21,0.0006,,,,,
13.24,0.0004,,,,,
13.27,0.0009,,,,,
13.3,0.0012,,,,,
13.33,0.0005,,,,,
13.36,0.0016,,,,,
13.39,0.0021,,,,,
13.42,0.0006,,,,,
13.45,0.0007,,,,,
13.48,0.0009,,,,,
13.51,0.0014,,,,,
13.54,0.0005,,,,,
13.57,0.0034,,,,,
13.6,0.0008,,,,,
13.63,0.0021,,,,,
13.66,0.0027,,,,,
13.69,0.0029,,,,,
13.72,0.0008,,,,,
13.75,0.0029,,,,,
13.78,0.0034,,,,,
13.81,0.0008,,,,,
13.84,0.0007,,,,,
13.88,0.0016,,,,,
13.91,0.0006,,,,,
13.94,0.001,,,,,
13.97,0.001,,,,,
14.0,0.0024,0.28328609466552734,0.6696315120711563,0.7134476534296029,0.6908455320078655,0.9606329950153144
14.03,0.0011,,,,,
14.06,0.0003,,,,,
14.09,0.0007,,,,,
14.12,0.0034,,,,,
14.15,0.0005,,,,,
14.18,0.0012,,,,,
14.21,0.0003,,,,,
14.24,0.0012,,,,,
14.27,0.0003,,,,,
14.3,0.001,,,,,
14.33,0.0002,,,,,
14.36,0.0009,,,,,
14.39,0.002,,,,,
14.42,0.0003,,,,,
14.45,0.0005,,,,,
14.48,0.0009,,,,,
14.51,0.0006,,,,,
14.54,0.001,,,,,
14.57,0.0007,,,,,
14.6,0.0001,,,,,
14.63,0.0002,,,,,
14.66,0.0007,,,,,
14.69,0.0035,,,,,
14.72,0.0003,,,,,
14.75,0.0002,,,,,
14.78,0.0014,,,,,
14.81,0.0006,,,,,
14.84,0.0003,,,,,
14.87,0.0001,,,,,
14.9,0.0013,,,,,
14.93,0.0012,,,,,
14.96,0.0003,,,,,
14.99,0.0013,,,,,
15.0,,0.30960899591445923,0.6827378390012915,0.7157039711191335,0.6988323419255343,0.9609182631673774
